name,slug,description,price,costPrice,stock,minStock,categorySlug,packageCategory,maxWeightGrams,maxLengthCm,maxWidthCm,maxHeightCm,volumeScore,allowedVehicles
KING BERRY 120G ARANDANOS 120G,king-berry-120g-arandanos-120g,King Berry 120G Arandanos 120G,9300,6045,100,5,kiosco,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
KING BERRY 120G CEREZA,king-berry-120g-cereza,King Berry 120G Cereza,9300,6045,100,5,kiosco,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
QUESO RALLADO TREMBLAY 120GR,queso-rallado-tremblay-120gr,Queso Rallado Tremblay 120Gr,4000,2600,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
BULL DOG SANDIA 30gr,bull-dog-sandia-30gr,Bull Dog Sandia 30Gr,700,455,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
BULL DOG TUTTI 30gr,bull-dog-tutti-30gr,Bull Dog Tutti 30Gr,700,455,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
DULCE FRAMBUESA BEEPURE FRASCO 270 GR,dulce-frambuesa-beepure-frasco-270-gr,Dulce Frambuesa Beepure Frasco 270 Gr,7500,4875,100,5,supermercado,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
EDULCORANTE BEEPURE STEVIA ORGANICO,edulcorante-beepure-stevia-organico,Edulcorante Beepure Stevia Organico,5000,3250,100,5,supermercado,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
DULCE FRAMBUESA BEEPURE 450 GR,dulce-frambuesa-beepure-450-gr,Dulce Frambuesa Beepure 450 Gr,9500,6175,100,5,supermercado,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
BEEPURE MIEL CLASICA 300gr,beepure-miel-clasica-300gr,Beepure Miel Clasica 300Gr,5200,3380,100,5,supermercado,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
PAPEL HIGIENICO OKEY X1,papel-higienico-okey-x1,Papel Higienico Okey X1,1000,650,100,5,farmacia,MICRO,200,15,8,5,1,BIKE|MOTO
ALFAJOR GULA KING 72gr,alfajor-gula-king-72gr,Alfajor Gula King 72Gr,2200,1430,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
BELDENT MANDARINA 10gr,beldent-mandarina-10gr,Beldent Mandarina 10Gr,1100,715,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
ALFAJOR ANIMAL KIND PISTACHO,alfajor-animal-kind-pistacho,Alfajor Animal Kind Pistacho,1600,1040,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
ALFAJOR ANIMAL KIND FRUTOS ROJOS 2X1,alfajor-animal-kind-frutos-rojos-2x1,Alfajor Animal Kind Frutos Rojos 2X1,1600,1040,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
BULL DOG UVA,bull-dog-uva,Bull Dog Uva,700,455,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
ANYOJITOS NACHO ORIGINAL 85gr,anyojitos-nacho-original-85gr,Anyojitos Nacho Original 85Gr,2900,1885,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
ALFAJOR DUBAI PISTACHO,alfajor-dubai-pistacho,Alfajor Dubai Pistacho,2600,1690,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
COMUNACHOS 70gr,comunachos-70gr,Comunachos 70Gr,2600,1690,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
GONGYS 28gr,gongys-28gr,Gongys 28Gr,600,390,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
BILLIKEN GOMITAS FRUTALES 30gr,billiken-gomitas-frutales-30gr,Billiken Gomitas Frutales 30Gr,900,585,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
GOMITAS YUMMY OSITOS 30gr,gomitas-yummy-ositos-30gr,Gomitas Yummy Ositos 30Gr,800,520,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
GOMITAS YUMMY ANIMALITOS 30gr,gomitas-yummy-animalitos-30gr,Gomitas Yummy Animalitos 30Gr,800,520,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
TURRON BILLIKEN 25gr,turron-billiken-25gr,Turron Billiken 25Gr,500,325,100,5,bebidas,MICRO,200,15,8,5,1,BIKE|MOTO
GOMITAS YUMMY FRUTILLAS 30gr,gomitas-yummy-frutillas-30gr,Gomitas Yummy Frutillas 30Gr,800,520,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
GOMITAS YUMMY PIECITOS ACIDOS 30gr,gomitas-yummy-piecitos-acidos-30gr,Gomitas Yummy Piecitos Acidos 30Gr,800,520,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
GOMITAS YUMMY MORITAS 30gr,gomitas-yummy-moritas-30gr,Gomitas Yummy Moritas 30Gr,900,585,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
GONGYS FRUTILLAS 28gr,gongys-frutillas-28gr,Gongys Frutillas 28Gr,700,455,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
GONGYS NUBECITAS 28gr,gongys-nubecitas-28gr,Gongys Nubecitas 28Gr,800,520,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
YUMMY FRUTILLA C/ CREMA 30gr,yummy-frutilla-c-crema-30gr,Yummy Frutilla C/ Crema 30Gr,800,520,100,5,farmacia,MICRO,200,15,8,5,1,BIKE|MOTO
BILLIKEN YOGURT 30gr,billiken-yogurt-30gr,Billiken Yogurt 30Gr,900,585,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
YUMMY DIENTES 50G,yummy-dientes-50g,Yummy Dientes 50G,1300,845,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
YUMMY HUEVOS FRITOS 50G,yummy-huevos-fritos-50g,Yummy Huevos Fritos 50G,1300,845,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
BLOCK BLANCO 38gr,block-blanco-38gr,Block Blanco 38Gr,2500,1625,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
PLAYBOY ULTRA FINO,playboy-ultra-fino,Playboy Ultra Fino,3100,2015,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
PLAYBOY TEXTURADO,playboy-texturado,Playboy Texturado,3100,2015,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
